,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades
148,Philadelphia 76ers,1973,9,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.42,0,0,8264,0.42,0.75,50.9,20.6,0,0,0,104.1,2
149,Washington Wizards,1973,52,FALSE,0,0,0,0,0,0,0,0,0,2,2,0,0.464,0,0,7883,0.464,0.743,51.3,25,0,0,0,105,4
150,Atlanta Hawks,1973,46,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.461,0,0,8033,0.461,0.733,50.9,25.3,0,0,0,112.4,2
151,Houston Rockets,1973,33,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.457,0,0,8249,0.457,0.793,49.5,23.6,0,0,0,112.8,2
152,Cleveland Cavaliers,1973,32,FALSE,0,0,0,0,0,0,0,0,0,1,1,0,0.435,0,0,7884,0.435,0.747,49.5,25.7,0,0,0,102.7,2
153,Milwaukee Bucks,1973,60,FALSE,0,0,0,0,1,0,0,0,0,1,2,0,0.481,0,0,7808,0.481,0.753,51.8,27.1,0,0,0,107.2,4
154,Chicago Bulls,1973,51,FALSE,0,0,0,0,0,0,0,0,0,2,3,0,0.444,0,0,7835,0.444,0.759,48.8,24.7,0,0,0,104.1,5
155,Detroit Pistons,1973,40,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.463,0,0,7916,0.463,0.745,50.1,23,0,0,0,110.3,2
156,Sacramento Kings,1973,36,FALSE,0,1,0,1,0,0,0,0,0,2,0,0,0.478,0,0,7581,0.478,0.776,44.2,25.8,0,0,0,107.6,4
157,Los Angeles Lakers,1973,60,FALSE,0,0,1,0,0,0,0,0,0,3,3,0,0.478,0,0,7819,0.478,0.742,55.6,28.1,0,0,0,111.7,7
