,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
47,Los Angeles Lakers,1965.0,49.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.437,0.0,0.0,7628.0,0.437,0.763,65.4,20.0,0.0,0.0,0.0,111.9,10.0,Lakers
48,Atlanta Hawks,1965.0,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.424,0.0,0.0,7710.0,0.424,0.736,65.1,21.1,0.0,0.0,0.0,108.8,7.0,Hawks
49,Washington Wizards,1965.0,37.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.442,0.0,0.0,7734.0,0.442,0.714,66.2,21.0,0.0,0.0,0.0,113.6,4.0,Wizards
50,Detroit Pistons,1965.0,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.418,0.0,0.0,8297.0,0.418,0.689,67.4,20.1,0.0,0.0,0.0,108.5,3.0,Pistons
51,Golden State Warriors,1965.0,17.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.403,0.0,0.0,8245.0,0.403,0.64,71.4,20.7,0.0,0.0,0.0,105.8,8.0,Warriors
52,Philadelphia 76ers,1966.0,55.0,False,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.446,0.0,0.0,8189.0,0.446,0.664,70.7,23.8,0.0,0.0,0.0,117.3,12.0,76ers
53,Boston Celtics,1966.0,54.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.417,0.0,0.0,8367.0,0.417,0.739,69.9,22.4,0.0,0.0,0.0,112.7,10.0,Celtics
54,Sacramento Kings,1966.0,45.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.444,0.0,0.0,8123.0,0.444,0.758,69.5,22.7,0.0,0.0,0.0,117.8,10.0,Kings
55,New York Knicks,1966.0,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.45,0.0,0.0,7910.0,0.45,0.72,64.0,23.7,0.0,0.0,0.0,116.7,2.0,Knicks
56,Los Angeles Lakers,1966.0,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.444,0.0,0.0,8109.0,0.444,0.773,66.7,24.2,0.0,0.0,0.0,119.5,10.0,Lakers
57,Washington Wizards,1966.0,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.438,0.0,0.0,8210.0,0.438,0.712,69.3,23.6,0.0,0.0,0.0,118.3,6.0,Wizards
58,Atlanta Hawks,1966.0,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.431,0.0,0.0,7836.0,0.431,0.751,64.6,22.3,0.0,0.0,0.0,111.4,4.0,Hawks
59,Golden State Warriors,1966.0,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.418,0.0,0.0,8512.0,0.418,0.739,71.6,23.4,0.0,0.0,0.0,115.5,4.0,Warriors
60,Detroit Pistons,1966.0,22.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.409,0.0,0.0,8502.0,0.409,0.687,67.8,19.6,0.0,0.0,0.0,110.3,5.0,Pistons
61,Philadelphia 76ers,1967.0,68.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.0,0.0,8103.0,0.483,0.68,70.4,26.4,0.0,0.0,0.0,125.2,0.0,76ers
62,Boston Celtics,1967.0,60.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.447,0.0,0.0,8325.0,0.447,0.748,70.4,24.2,0.0,0.0,0.0,119.3,3.0,Celtics
63,Sacramento Kings,1967.0,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.0,8137.0,0.449,0.777,64.2,22.9,0.0,0.0,0.0,117.1,0.0,Kings
64,New York Knicks,1967.0,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453,0.0,0.0,8025.0,0.453,0.722,63.9,22.0,0.0,0.0,0.0,116.4,0.0,Knicks
65,Washington Wizards,1967.0,20.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.0,8578.0,0.427,0.731,66.0,20.4,0.0,0.0,0.0,115.5,0.0,Wizards
66,Golden State Warriors,1967.0,44.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.0,8818.0,0.433,0.756,73.8,23.2,0.0,0.0,0.0,122.4,0.0,Warriors
67,Atlanta Hawks,1967.0,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.443,0.0,0.0,8004.0,0.443,0.708,64.4,21.1,0.0,0.0,0.0,113.6,6.0,Hawks
68,Los Angeles Lakers,1967.0,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.0,0.0,8466.0,0.447,0.751,66.9,23.5,0.0,0.0,0.0,120.5,0.0,Lakers
69,Chicago Bulls,1967.0,33.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,8505.0,0.419,0.732,65.4,22.6,0.0,0.0,0.0,113.2,0.0,Bulls
70,Detroit Pistons,1967.0,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.412,0.0,0.0,8542.0,0.412,0.723,68.0,18.1,0.0,0.0,0.0,111.3,2.0,Pistons
71,Philadelphia 76ers,1968.0,62.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.0,0.0,8414.0,0.471,0.635,72.1,26.8,0.0,0.0,0.0,122.6,0.0,76ers
72,Boston Celtics,1968.0,54.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44,0.0,0.0,8371.0,0.44,0.721,69.1,21.9,0.0,0.0,0.0,116.1,1.0,Celtics
73,New York Knicks,1968.0,43.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.456,0.0,0.0,8070.0,0.456,0.71,62.5,24.0,0.0,0.0,0.0,116.1,4.0,Knicks
74,Detroit Pistons,1968.0,40.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.0,0.0,8386.0,0.448,0.708,66.5,20.7,0.0,0.0,0.0,118.6,0.0,Pistons
75,Sacramento Kings,1968.0,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.0,0.0,7864.0,0.468,0.762,62.5,25.0,0.0,0.0,0.0,116.6,0.0,Kings
76,Washington Wizards,1968.0,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.438,0.0,0.0,8428.0,0.438,0.75,66.2,18.7,0.0,0.0,0.0,117.4,1.0,Wizards
77,Atlanta Hawks,1968.0,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.451,0.0,0.0,7765.0,0.451,0.726,64.9,24.2,0.0,0.0,0.0,113.0,6.0,Hawks
78,Los Angeles Lakers,1968.0,52.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,8031.0,0.477,0.726,63.7,24.2,0.0,0.0,0.0,121.2,0.0,Lakers
79,Golden State Warriors,1968.0,43.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,8587.0,0.423,0.74,73.5,23.2,0.0,0.0,0.0,117.0,0.0,Warriors
